ticker,name,environment_score,social_score,governance_score,esg_score,benchmark,esg_gap,true_label,predicted_label,p_safe
dis,Walt Disney Co,510,316,321,1147,1052.0,95.0,Safe,Safe,1.0
gm,General Motors Co,510,303,255,1068,1052.0,16.0,Safe,Safe,0.875
gww,WW Grainger Inc,255,385,240,880,1052.0,-172.0,Risk,Risk,0.075
mhk,Mohawk Industries Inc,570,298,303,1171,1052.0,119.0,Safe,Safe,0.975
lyv,Live Nation Entertainment Inc,492,310,250,1052,1052.0,0.0,Safe,Safe,0.975
lvs,Las Vegas Sands Corp,547,318,313,1178,1052.0,126.0,Safe,Safe,1.0
clx,Clorox Co,560,350,345,1255,1052.0,203.0,Safe,Safe,0.995
aacg,ATA Creativity Global,203,200,205,608,1052.0,-444.0,Risk,Risk,0.0
aal,American Airlines Group Inc,270,211,265,746,1052.0,-306.0,Risk,Risk,0.0
aame,Atlantic American Corp,220,221,300,741,1052.0,-311.0,Risk,Risk,0.0
aaoi,Applied Optoelectronics Inc,311,256,218,785,1052.0,-267.0,Risk,Risk,0.0
aaon,Aaon Inc,500,300,223,1023,1052.0,-29.0,Risk,Risk,0.03
aapl,Apple Inc,355,281,255,891,1052.0,-161.0,Risk,Risk,0.0
aatc,Autoscope Technologies Corp,410,286,240,936,1052.0,-116.0,Risk,Risk,0.005
aaww,Atlas Air Worldwide Holdings Inc,520,243,237,1000,1052.0,-52.0,Risk,Risk,0.045
aaci,Armada Acquisition Corp I,205,200,200,605,1052.0,-447.0,Risk,Risk,0.0
aadi,Aadi Bioscience Inc,200,201,203,604,1052.0,-448.0,Risk,Risk,0.0
abeo,Abeona Therapeutics Inc,205,306,310,821,1052.0,-231.0,Risk,Risk,0.0
abnb,Airbnb Inc,505,570,400,1475,1052.0,423.0,Safe,Safe,0.995
abio,ARCA Biopharma Inc,200,222,290,712,1052.0,-340.0,Risk,Risk,0.0
abmd,ABIOMED Inc,500,324,305,1129,1052.0,77.0,Safe,Safe,0.995
abos,Acumen Pharmaceuticals Inc,205,201,200,606,1052.0,-446.0,Risk,Risk,0.0
absi,Absci Corp,205,224,230,659,1052.0,-393.0,Risk,Risk,0.0
abtx,Allegiance Bancshares Inc,298,300,300,898,1052.0,-154.0,Risk,Risk,0.005
abus,Arbutus Biopharma Corp,203,204,338,745,1052.0,-307.0,Risk,Risk,0.01
abvc,ABVC Biopharma Inc,220,212,205,637,1052.0,-415.0,Risk,Risk,0.0
acad,ACADIA Pharmaceuticals Inc,230,230,305,765,1052.0,-287.0,Risk,Risk,0.0
acac,Acri Capital Acquisition Corp,200,205,300,705,1052.0,-347.0,Risk,Risk,0.0
accd,Accolade Inc,255,254,235,744,1052.0,-308.0,Risk,Risk,0.0
acet,Adicet Bio Inc,215,211,305,731,1052.0,-321.0,Risk,Risk,0.0
abcl,Abcellera Biologics Inc,540,354,345,1239,1052.0,187.0,Safe,Safe,1.0
abcb,Ameris Bancorp,290,300,250,840,1052.0,-212.0,Risk,Risk,0.01
